Brand,Product,Gender,Product_Type,Price,Sold,Available,Revenue_Potential,Demand_Score,Price_Category,Market_Segment,Sales_Performance,Brand_Popularity,Country,Inventory_Status,Stock_Turnover,Revenue_Rank
Paco Rabanne,Paco Rabanne Invictus 3.4 oz EDT Sporty Men's Cologne Energizing Scent Sealed,Men,EDT,39.99,118.0,10.0,4718.820000000001,94.597,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Others
Lucianno,Lucianno California Vibe M 100ml Boxed,Men,Unknown,66.0,21.0,10.0,1386.0,34.5,Mid-Range,Premium,Medium Seller,Low,Canada,Medium Stock,Slow,Others
BHARARA,"BHARARA KING PURE PARFUM BY BHARARA 3.4 FOR MEN, new launch 2023",Men,Parfum,71.49,31.0,4.0,2216.19,43.147,Mid-Range,Premium,Medium Seller,Low,United States,Low Stock,Fast,Others
Branded,*Perfume Para Hombre Con Feromonas De Atraer Mujeres Fragancia Colonia Masculino,Men,Unknown,17.99,1.0,13.0,17.99,6.0969999999999995,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Thierry Mugler,Alien by Thierry Mugler 3 oz EDP Perfume for Women New In Box,Women,EDP,85.56,953.0,0.0,81538.68000000001,692.7679999999999,Luxury,Luxury,High Seller,Medium,United States,Low Stock,Fast,Top 10%
Burberry,BURBERRY CLASSIC by Burberry perfume for women EDP 3.3 / 3.4 oz New in Box,Women,EDP,38.14,725.0,0.0,27651.5,518.9419999999999,Mid-Range,Premium,High Seller,High,United States,Low Stock,Fast,Top 25%
Avon,Avon Black Suede for Men Eau De Toilette Spray - 3.4 Ounce,Men,Eau De Toilette,13.94,66.0,10.0,920.04,50.382,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Fast,Others
SEE PHOTO,Perfume EDP for Women 3.4 oz / 100 ml  NEW,Women,EDP,23.99,4.0,10.0,95.96,9.997,Budget,Mass Market,Low Seller,Low,China,Medium Stock,Slow,Others
Calvin Klein,ETERNITY for Men by CALVIN KLEIN 3.3 / 3.4 oz EDT New In box,Men,EDT,31.08,1362.0,842.0,42330.96,962.7239999999999,Mid-Range,Premium,High Seller,High,United States,High Stock,Slow,Top 10%
HERMÈS,Twilly d'Hermes 7.5ml EDP Mini Splash (New with box),Women,EDP,13.88,68.0,10.0,943.84,51.763999999999996,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Fast,Others
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men US,Men,Cologne,13.99,290.0,10.0,4057.1,207.197,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Juliette has a gun,"Juliette Has a Gun PEAR INC. 1.7 oz. Eau de Parfum Spray, New in Sealed Box",Women,Parfum,54.95,18.0,10.0,989.1,29.085,Mid-Range,Premium,Low Seller,Medium,United States,Medium Stock,Slow,Others
Ouai,OUAI Hair & Body Mist In ST. BARTS 3.3oz / 97ml Full Size NEW RELEASE '24,Women,Unknown,28.0,0.0,2.0,0.0,8.4,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Slow,Others
Giorgio Armani,Giorgio Armani Men's Acqua Di Gio EDP Refillable Spray 4.2 oz Fragrances,Men,EDP,79.89,15.0,3.0,1198.35,34.467,Mid-Range,Premium,Low Seller,High,United States,Low Stock,Moderate,Others
Lancôme,La Vie Est Belle by Lancome 3.4 oz 100 ml L'Eau De Parfum BRAND NEW SEALED BOX,Women,Parfum,69.99,25.0,9.0,1749.7499999999998,38.497,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Moderate,Others
Valentino,Valentino Uomo Born In Roma Eau De Toilette Travel Spray 15ml / 0.5 Oz For Men,Men,Eau De Toilette,36.99,32.0,0.0,1183.68,33.497,Mid-Range,Premium,Medium Seller,Medium,United States,Low Stock,Fast,Others
Dior,Sauvage Elixir By Dior 2.0oz,Men,Unknown,88.99,4.0,5.0,355.96,29.497,Luxury,Luxury,Low Seller,Medium,United States,Medium Stock,Slow,Others
Burberry,Burberry Men's Hero EDP Spray 3.4 oz Fragrances 3614228838016,Men,EDP,77.07,55.0,3.0,4238.849999999999,61.620999999999995,Mid-Range,Premium,Medium Seller,High,United States,Low Stock,Fast,Others
Burberry,Burberry Her Blossom Eau De Toilette EDT Perfume Spray for Women 100 ml / 3.3 oz,Women,EDT,55.99,14.0,3.0,783.86,26.597,Mid-Range,Premium,Low Seller,High,Canada,Low Stock,Moderate,Others
Perfumer's Workshop,Tea Rose by Perfumer's Workshop 4.0 / 4 oz EDT For Women New In Box,Women,EDT,13.76,4492.0,86.0,61809.92,3148.528,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 10%
diptyque,2x Authentic Diptyque Orpheon Eau de Parfum Spray 2ml/.06 fl. oz. Each Free Ship,Women,Parfum,27.5,12.0,9.0,330.0,16.65,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Carolina Herrera,Carolina Herrera Bad Boy Dazzling Garden 3.3/3.4 oz Eau De Toilette 100ml (NWOB),Men,Eau De Toilette,65.99,17.0,10.0,1121.83,31.696999999999996,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Myrurgia,YACHT MAN DENSE by Myrurgia cologne EDT 3.3 / 3.4 oz New in Box,Men,EDT,9.21,3093.0,202.0,28486.530000000002,2167.863,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 25%
Sol De Janeiro,"Sol De Janeiro Rio Perfume Mist 1fl.oz./30ml Travel Size, Individual Sprays",Women,Unknown,16.99,14.0,10.0,237.85999999999999,14.896999999999998,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
